Model,F1,Log-Loss
bert-base-multilingual-uncased,0.6061852577502489,0.7558846928785451
tsdae-bert-base-multilingual-uncased,0.6424127365747189,0.7027352946865227
tsdae-bert-base-multilingual-uncased_gpl_50s_70i,0.6378670804812093,0.7310474430486997
hate_speech_slo,0.6061852577502489,0.7558846928785451
tsdae-hate_speech_slo,0.6442724062547709,0.7114102068063752
tsdae-hate_speech_slo_gpl_100s_50i,0.6398163706819529,0.72546245706237
all-MiniLM-L12-v2,0.5612306549939624,0.8199436456607134
tsdae-all-MiniLM-L12-v2,0.6312598514391387,0.7312602089249786
tsdae-all-MiniLM-L12-v2_gpl_100s_50i,0.6207893735754274,0.75092027215738

