,F1,Log-Loss
all-MiniLM-L12-v2_gpl_50s_70i,0.5049589294816824,0.8605914619709408
bert-base-multilingual-uncased_gpl_50s_70i,0.5852255000077753,0.7881092964779526
hate_speech_slo_gpl_50s_70i,0.5774117183227554,0.7901987622916884
tsdae-all-MiniLM-L12-v2_gpl_50s_70i,0.613052718404871,0.7554987394470077
tsdae-bert-base-multilingual-uncased_gpl_50s_70i,0.6378670804812093,0.7310474430486997
tsdae-hate_speech_slo_gpl_50s_70i,0.6348002120678776,0.7303099187970122
tsdae-all-MiniLM-L12-v2_gpl_10s_140i,0.6136965179443155,0.7568896610713538
tsdae-hate_speech_slo_gpl_10s_140i,0.6321937628405789,0.7391616541491373
tsdae-bert-base-multilingual-uncased_gpl_10s_140i,0.6058712523709289,0.7820634858187562
tsdae-all-MiniLM-L12-v2_gpl_100s_50i,0.6207893735754274,0.75092027215738
tsdae-hate_speech_slo_gpl_100s_50i,0.6398163706819529,0.72546245706237
